FID,station,c_railstat,amtrak,map_sta,shape
GISDATA.TRAINS_NODE.103,RIVER WORKS,Y,,Y,POINT (243618.04690683633 911165.7499995045)
GISDATA.TRAINS_NODE.104,ASHLAND,Y,,Y,POINT (201970.5156036839 890060.9999970831)
GISDATA.TRAINS_NODE.105,SOUTHBOROUGH,Y,,Y,POINT (198032.79689165205 890741.562504407)
GISDATA.TRAINS_NODE.116,HYDE PARK,Y,,Y,POINT (230904.76520299166 889481.9068945758)
GISDATA.TRAINS_NODE.117,FOREST HILLS,Y,,Y,POINT (231777.4687944427 894405.2500034235)
GISDATA.TRAINS_NODE.118,BACK BAY,Y,Y,Y,POINT (235008.4224979058 899749.7451072708)
GISDATA.TRAINS_NODE.120,SOUTH WEYMOUTH,Y,,Y,POINT (245230.9531084448 878336.1249901801)
GISDATA.TRAINS_NODE.123,STOUGHTON,Y,,Y,POINT (232795.93749281764 874893.3750016578)
GISDATA.TRAINS_NODE.124,FRAMINGHAM,Y,Y,Y,POINT (206606.15199887007 891750.4644023255)
GISDATA.TRAINS_NODE.125,WELLESLEY FARMS,Y,,Y,POINT (218749.07430062443 896878.873595912)
GISDATA.TRAINS_NODE.126,AUBURNDALE,Y,,Y,POINT (220575.54691237956 899518.4999962896)
GISDATA.TRAINS_NODE.127,NEWTONVILLE,Y,,Y,POINT (224184.2105087787 900154.1636014804)
GISDATA.TRAINS_NODE.128,WEST NEWTON,Y,,Y,POINT (222136.70311152935 899737.1875066757)
GISDATA.TRAINS_NODE.129,WELLESLEY HILLS,Y,,Y,POINT (218396.06250885874 895634.8750118278)
GISDATA.TRAINS_NODE.130,LANSDOWNE,Y,,Y,POINT (232918.6654986441 899760.5018077828)
GISDATA.TRAINS_NODE.131,WEST NATICK,Y,,Y,POINT (208952.84381032735 892531.2499894127)
GISDATA.TRAINS_NODE.132,WELLESLEY SQUARE,Y,,Y,POINT (216908.90628822148 894098.6874888614)
GISDATA.TRAINS_NODE.133,MELROSE HIGHLANDS,Y,,Y,POINT (235485.7812955752 913229.874997545)
GISDATA.TRAINS_NODE.134,MELROSE/CEDAR PARK,Y,,Y,POINT (235375.5937903449 912158.7499966696)
GISDATA.TRAINS_NODE.135,WAKEFIELD,Y,,Y,POINT (234869.15629129112 916957.8124996126)
GISDATA.TRAINS_NODE.136,READING,Y,,Y,POINT (231989.87500452995 919262.5625090823)
GISDATA.TRAINS_NODE.137,NORTH STATION,Y,Y,,POINT (236087.73439916968 901869.0625079349)
GISDATA.TRAINS_NODE.139,NANTASKET JUNCTION,Y,,Y,POINT (252163.24398770928 888468.8948964588)
GISDATA.TRAINS_NODE.150,WILMINGTON,Y,,,POINT (226639.04690037668 921999.9999891035)
GISDATA.TRAINS_NODE.151,WEDGEMERE,Y,,,POINT (229604.4687912315 910551.5624953322)
GISDATA.TRAINS_NODE.153,ANDERSON/WOBURN,Y,Y,,POINT (229272.90630047768 918416.8749939129)
GISDATA.TRAINS_NODE.154,WINCHESTER CENTER,Y,,,POINT (229829.31250190735 911366.6875090487)
